0.0000,0.7687,0.9974
0.0001,0.7701,0.9941
0.0002,0.7738,0.9873
0.0003,0.7773,0.9801
0.0004,0.7806,0.9729
0.0005,0.7827,0.9661
0.0006,0.7855,0.9600
0.0007,0.7876,0.9545
0.0008,0.7898,0.9473
0.0009,0.7927,0.9418
0.0010,0.7939,0.9371
0.0011,0.7962,0.9309
0.0012,0.7984,0.9250
0.0013,0.8014,0.9189
0.0014,0.8036,0.9134
0.0015,0.8060,0.9078
0.0016,0.8094,0.9009
0.0017,0.8119,0.8943
0.0018,0.8136,0.8879
0.0019,0.8150,0.8841
0.0020,0.8171,0.8782
0.0021,0.8205,0.8711
0.0022,0.8222,0.8656
0.0023,0.8239,0.8607
0.0024,0.8263,0.8550
0.0025,0.8289,0.8490
0.0026,0.8310,0.8439
0.0027,0.8325,0.8392
0.0028,0.8337,0.8339
0.0029,0.8358,0.8293
0.0030,0.8365,0.8256
0.0031,0.8385,0.8204
0.0032,0.8405,0.8158
0.0033,0.8422,0.8105
0.0034,0.8435,0.8058
0.0035,0.8458,0.7998
0.0036,0.8472,0.7953
0.0037,0.8487,0.7899
0.0038,0.8502,0.7845
0.0039,0.8512,0.7802
0.0040,0.8531,0.7756
0.0041,0.8545,0.7705
0.0042,0.8562,0.7654
0.0043,0.8577,0.7612
0.0044,0.8593,0.7562
0.0045,0.8605,0.7512
0.0046,0.8615,0.7459
0.0047,0.8630,0.7404
0.0048,0.8651,0.7351
0.0049,0.8660,0.7301
0.0050,0.8667,0.7260
0.0051,0.8683,0.7223
0.0052,0.8705,0.7179
0.0053,0.8715,0.7138
0.0054,0.8736,0.7094
0.0055,0.8750,0.7039
0.0056,0.8760,0.6992
0.0057,0.8775,0.6940
0.0058,0.8787,0.6882
0.0059,0.8799,0.6835
0.0060,0.8812,0.6794
0.0061,0.8816,0.6755
0.0062,0.8827,0.6715
0.0063,0.8843,0.6663
0.0064,0.8855,0.6619
0.0065,0.8873,0.6575
0.0066,0.8885,0.6529
0.0067,0.8894,0.6476
0.0068,0.8901,0.6435
0.0069,0.8915,0.6389
0.0070,0.8923,0.6363
0.0071,0.8929,0.6319
0.0072,0.8941,0.6277
0.0073,0.8955,0.6246
0.0074,0.8964,0.6208
0.0075,0.8969,0.6168
0.0076,0.8977,0.6127
0.0077,0.8986,0.6093
0.0078,0.8989,0.6065
0.0079,0.8996,0.6027
0.0080,0.9003,0.5990
0.0081,0.9012,0.5942
0.0082,0.9013,0.5908
0.0083,0.9015,0.5868
0.0084,0.9022,0.5818
0.0085,0.9030,0.5783
0.0086,0.9038,0.5748
0.0087,0.9035,0.5709
0.0088,0.9042,0.5659
0.0089,0.9051,0.5608
0.0090,0.9057,0.5565
0.0091,0.9063,0.5541
0.0092,0.9071,0.5502
0.0093,0.9082,0.5460
0.0094,0.9095,0.5424
0.0095,0.9104,0.5388
0.0096,0.9108,0.5357
0.0097,0.9119,0.5323
0.0098,0.9132,0.5285
0.0099,0.9135,0.5249
0.0100,0.9143,0.5202
0.0101,0.9158,0.5155
0.0102,0.9159,0.5116
0.0103,0.9163,0.5077
0.0104,0.9167,0.5043
0.0105,0.9182,0.4999
0.0106,0.9188,0.4966
0.0107,0.9197,0.4930
0.0108,0.9194,0.4899
0.0109,0.9193,0.4860
0.0110,0.9197,0.4822
0.0111,0.9212,0.4787
0.0112,0.9217,0.4750
0.0113,0.9218,0.4721
0.0114,0.9226,0.4688
0.0115,0.9228,0.4650
0.0116,0.9244,0.4616
0.0117,0.9250,0.4584
0.0118,0.9258,0.4544
0.0119,0.9275,0.4512
0.0120,0.9273,0.4485
0.0121,0.9276,0.4459
0.0122,0.9278,0.4435
0.0123,0.9281,0.4396
0.0124,0.9280,0.4364
0.0125,0.9282,0.4345
0.0126,0.9278,0.4310
0.0127,0.9282,0.4278
0.0128,0.9284,0.4244
0.0129,0.9280,0.4222
0.0130,0.9279,0.4186
0.0131,0.9282,0.4153
0.0132,0.9286,0.4117
0.0133,0.9294,0.4082
0.0134,0.9294,0.4052
0.0135,0.9300,0.4016
0.0136,0.9304,0.3979
0.0137,0.9306,0.3948
0.0138,0.9304,0.3920
0.0139,0.9304,0.3896
0.0140,0.9316,0.3861
